Reaction,Experimental (eV),Opt(MS+rVV10) (eV),Weight
CO/Ni(111),-1.28,-1.40,1.00
CO/Pt(111),-1.28,-1.52,1.00
CO/Pd(111),-1.49,-1.82,1.00
CO/Pd(100),-1.63,-1.90,1.00
CO/Rh(111),-1.47,-1.86,1.00
CO/Ir(111),-1.70,-1.90,1.00
CO/Cu(111),-0.59,-0.72,1.00
CO/Ru(0001),-1.67,-1.92,1.00
CO/Co(0001),-1.23,-1.76,1.00
(N+O)/Ni(100),-3.10,-3.99,0.50
NO/Pt(111),-1.23,-1.28,1.00
NO/Pd(111),-1.89,-1.95,1.00
NO/Pd(100),-1.69,-1.86,1.00
O/Ni(111),-5.03,-5.07,0.50
O/Ni(100),-5.49,-5.65,0.50
O/Pt(111),-2.16,-1.97,0.50
O/Rh(100),-3.68,-4.37,0.50
H/Pt(111),-0.75,-0.97,0.50
H/Ni(111),-1.04,-0.92,0.50
H/Ni(100),-0.90,-1.25,0.50
H/Rh(111),-0.75,-1.09,0.50
H/Pd(111),-0.93,-1.27,0.50
I/Pt(111),-3.24,-2.93,0.50
(CH+H+I)/Pt(111),-4.72,-3.63,0.25
(CH3+I)/Pt(111),-2.17,-1.77,0.50
NH3/Cu(100),-0.59,-0.49,1.00
CH3I/Pt(111),-0.87,-0.36,1.00
CH3OH/Pt(111),-0.57,-0.33,1.00
CH4/Pt(111),-0.14,-0.10,1.00
C2H6/Pt(111),-0.28,-0.16,1.00
C3H8/Pt(111),-0.40,-0.24,1.00
C4H10/Pt(111),-0.50,-0.30,1.00
C6H6/Pt(111),-1.68,-1.72,1.00
C6H6/Cu(111),-0.68,-0.28,1.00
C6H6/Ag(111),-0.63,-0.35,1.00
C6H6/Au(111),-0.72,-0.39,1.00
C6H10/Pt(111),-1.26,-1.19,1.00
H2O/Pt(111),-0.57,-0.27,1.00
(H2O···OH)/Pt(111),-0.69,-0.75,1.00
