Energy(eV)	C_p_DOS	Pt_d_DOS
-21.585707	0.000000	0.000000
-21.545707	0.000000	0.000000
-21.505607	0.000000	0.000000
-21.465607	0.000000	0.000000
-21.425507	0.000000	0.000000
-21.385507	0.000000	0.000000
-21.345507	0.000000	0.000000
-21.305407	0.000000	0.000000
-21.265407	0.000000	0.000000
-21.225307	0.000000	0.000000
-21.185307	0.000000	0.000000
-21.145307	0.000000	0.000000
-21.105207	0.000000	0.000000
-21.065207	0.000000	0.000000
-21.025107	0.000000	0.000000
-20.985107	0.000000	0.000000
-20.945107	0.000000	0.000000
-20.905007	0.000000	0.000000
-20.865007	0.000000	0.000000
-20.824907	0.000000	0.000000
-20.784907	0.000000	0.000000
-20.744907	0.000000	0.000000
-20.704807	0.000000	0.000000
-20.664807	0.000000	0.000000
-20.624707	0.000000	0.000000
-20.584707	0.000000	0.000000
-20.544707	0.000000	0.000000
-20.504607	0.000000	0.000000
-20.464607	0.000000	0.000000
-20.424507	0.000000	0.000000
-20.384507	0.000000	0.000000
-20.344507	0.000000	0.000000
-20.304407	0.000000	0.000000
-20.264407	0.000000	0.000000
-20.224307	0.000000	0.000000
-20.184307	0.000000	0.000000
-20.144307	0.000000	0.000000
-20.104207	0.000000	0.000000
-20.064207	0.000000	0.000000
-20.024107	0.000000	0.000000
-19.984107	0.000000	0.000000
-19.944107	0.000000	0.000000
-19.904007	0.000000	0.000000
-19.864007	0.000000	0.000000
-19.823907	0.000000	0.000000
-19.783907	0.000000	0.000000
-19.743907	0.000000	0.000000
-19.703807	0.000000	0.000000
-19.663807	0.000000	0.000000
-19.623707	0.000000	0.000000
-19.583707	0.000000	0.000000
-19.543707	0.000000	0.000000
-19.503607	0.000000	0.000000
-19.463607	0.000000	0.000000
-19.423507	0.000000	0.000000
-19.383507	0.000000	0.000000
-19.343507	0.000000	0.000000
-19.303407	0.000000	0.000000
-19.263407	0.000000	0.000000
-19.223307	0.000000	0.000000
-19.183307	0.000000	0.000000
-19.143307	0.000000	0.000000
-19.103207	0.000000	0.000000
-19.063207	0.000000	0.000000
-19.023107	0.000000	0.000000
-18.983107	0.000000	0.000000
-18.943107	0.000000	0.000000
-18.903007	0.000000	0.000000
-18.863007	0.000000	0.000000
-18.822907	0.000000	0.000000
-18.782907	0.000000	0.000000
-18.742907	0.000000	0.000000
-18.702807	0.000000	0.000000
-18.662807	0.000000	0.000000
-18.622707	0.000000	0.000000
-18.582707	0.000000	0.000000
-18.542707	0.000000	0.000000
-18.502607	0.000000	0.000000
-18.462607	0.000000	0.000000
-18.422507	0.000000	0.000000
-18.382507	0.000000	0.000000
-18.342507	0.000000	0.000000
-18.302407	0.000000	0.000000
-18.262407	0.000000	0.000000
-18.222307	0.000000	0.000000
-18.182307	0.000000	0.000000
-18.142307	0.000000	0.000000
-18.102207	0.000000	0.000000
-18.062207	0.000000	0.000000
-18.022107	0.000000	0.000000
-17.982107	0.000000	0.000000
-17.942107	0.000000	0.000000
-17.902007	0.000000	0.000000
-17.862007	0.000000	0.000000
-17.821907	0.000000	0.000000
-17.781907	0.000000	0.000000
-17.741907	0.000000	0.000000
-17.701807	0.000000	0.000000
-17.661807	0.000000	0.000000
-17.621707	0.000000	0.000000
-17.581707	0.000000	0.000000
-17.541707	0.000000	0.000000
-17.501607	0.000000	0.000000
-17.461607	0.000000	0.000000
-17.421507	0.000000	0.000000
-17.381507	0.000000	0.000000
-17.341507	0.000000	0.000000
-17.301407	0.000000	0.000000
-17.261407	0.000000	0.000000
-17.221307	0.000000	0.000000
-17.181307	0.000000	0.000000
-17.141307	0.000000	0.000000
-17.101207	0.000000	0.000000
-17.061207	0.000000	0.000000
-17.021107	0.000000	0.000000
-16.981107	0.000000	0.000000
-16.941107	0.000000	0.000000
-16.901007	0.000000	0.000000
-16.861007	0.000000	0.000000
-16.820907	0.000000	0.000000
-16.780907	0.000000	0.000000
-16.740907	0.000000	0.000000
-16.700807	0.000000	0.000000
-16.660807	0.000000	0.000000
-16.620707	0.000000	0.000000
-16.580707	0.000000	0.000000
-16.540707	0.000000	0.000000
-16.500607	0.000000	0.000000
-16.460607	0.000000	0.000000
-16.420507	0.000000	0.000000
-16.380507	0.000000	0.000000
-16.340507	0.000000	0.000000
-16.300407	0.000000	0.000000
-16.260407	0.000000	0.000000
-16.220307	0.000000	0.000000
-16.180307	0.000000	0.000000
-16.140307	0.000000	0.000000
-16.100207	0.000000	0.000000
-16.060207	0.000000	0.000000
-16.020107	0.000000	0.000000
-15.980107	0.000000	0.000000
-15.940107	0.000000	0.000000
-15.900007	0.000000	0.000000
-15.860007	0.000000	0.000000
-15.819907	0.000000	0.000000
-15.779907	0.000000	0.000000
-15.739907	0.000000	0.000000
-15.699807	0.000000	0.000000
-15.659807	0.000000	0.000000
-15.619707	0.000000	0.000000
-15.579707	0.000000	0.000000
-15.539707	0.000000	0.000000
-15.499607	0.000000	0.000000
-15.459607	0.000000	0.000000
-15.419507	0.000000	0.000000
-15.379507	0.000000	0.000000
-15.339507	0.000000	0.000000
-15.299407	0.000000	0.000000
-15.259407	0.000000	0.000000
-15.219307	0.000000	0.000000
-15.179307	0.000000	0.000000
-15.139307	0.000000	0.000000
-15.099207	0.000000	0.000000
-15.059207	0.000000	0.000000
-15.019107	0.000000	0.000000
-14.979107	0.000000	0.000000
-14.939107	0.000000	0.000000
-14.899007	0.000000	0.000000
-14.859007	0.000000	0.000000
-14.818907	0.000000	0.000000
-14.778907	0.000000	0.000000
-14.738907	0.000000	0.000000
-14.698807	0.000000	0.000000
-14.658807	0.000000	0.000000
-14.618707	0.000000	0.000000
-14.578707	0.000000	0.000000
-14.538707	0.000000	0.000000
-14.498607	0.000000	0.000000
-14.458607	0.000000	0.000000
-14.418507	0.000000	0.000000
-14.378507	0.000000	0.000000
-14.338507	0.000000	0.000000
-14.298407	0.000000	0.000000
-14.258407	0.000000	0.000000
-14.218307	0.000000	0.000000
-14.178307	0.000000	0.000000
-14.138307	0.000000	0.000000
-14.098207	0.000000	0.000000
-14.058207	0.000000	0.000000
-14.018107	0.000000	0.000000
-13.978107	0.000000	0.000000
-13.938107	0.000000	0.000000
-13.898007	0.000000	0.000000
-13.858007	0.000000	0.000000
-13.817907	0.000000	0.000000
-13.777907	0.000000	0.000000
-13.737907	0.000000	0.000000
-13.697807	0.000000	0.000000
-13.657807	0.000000	0.000000
-13.617707	0.000000	0.000000
-13.577707	0.000000	0.000000
-13.537707	0.000000	0.000000
-13.497607	0.000000	0.000000
-13.457607	0.000000	0.000000
-13.417507	0.000000	0.000000
-13.377507	0.000000	0.000000
-13.337507	0.000000	0.000000
-13.297407	0.000000	0.000000
-13.257407	0.000000	0.000000
-13.217307	0.000000	0.000000
-13.177307	0.000000	0.000000
-13.137307	0.000000	0.000000
-13.097207	0.000000	0.000000
-13.057207	0.000000	0.000000
-13.017107	0.000000	0.000000
-12.977107	0.000000	0.000000
-12.937107	0.000000	0.000000
-12.897007	0.000000	0.000000
-12.857007	0.000000	0.000000
-12.816907	0.000006	0.000000
-12.776907	0.000013	0.000000
-12.736907	0.000027	0.000001
-12.696807	0.000055	0.000001
-12.656807	0.000107	0.000003
-12.616707	0.000200	0.000005
-12.576707	0.000357	0.000010
-12.536707	0.000613	0.000016
-12.496607	0.001012	0.000027
-12.456607	0.001604	0.000043
-12.416507	0.002444	0.000066
-12.376507	0.003576	0.000096
-12.336507	0.005028	0.000135
-12.296407	0.006791	0.000182
-12.256407	0.008812	0.000237
-12.216307	0.010985	0.000295
