Energy(eV)	C_p_DOS	Pt_d_DOS
-16.209509	0.000000	0.000000
-16.169509	0.000000	0.000000
-16.129409	0.000000	0.000000
-16.089409	0.000000	0.000000
-16.049309	0.000000	0.000000
-16.009309	0.000000	0.000000
-15.969309	0.000000	0.000000
-15.929209	0.000000	0.000000
-15.889209	0.000000	0.000000
-15.849109	0.000000	0.000000
-15.809109	0.000000	0.000000
-15.769109	0.000000	0.000000
-15.729009	0.000000	0.000000
-15.689009	0.000000	0.000000
-15.648909	0.000000	0.000000
-15.608909	0.000000	0.000000
-15.568909	0.000000	0.000000
-15.528809	0.000000	0.000000
-15.488809	0.000000	0.000000
-15.448709	0.000000	0.000000
-15.408709	0.000000	0.000000
-15.368709	0.000000	0.000000
-15.328609	0.000000	0.000162
-15.288609	0.000000	0.000355
-15.248509	0.000000	0.000745
-15.208509	0.000000	0.001502
-15.168509	0.000000	0.002909
-15.128409	0.000000	0.005415
-15.088409	0.000001	0.009682
-15.048309	0.000001	0.016632
-15.008309	0.000002	0.027449
-14.968309	0.000004	0.043522
-14.928209	0.000006	0.066294
-14.888209	0.000008	0.097015
-14.848109	0.000011	0.136393
-14.808109	0.000015	0.184222
-14.768109	0.000020	0.239048
-14.728009	0.000025	0.298003
-14.688009	0.000030	0.356903
-14.647909	0.000034	0.410652
-14.607909	0.000038	0.453931
-14.567909	0.000040	0.482059
-14.527809	0.000041	0.491817
-14.487809	0.000040	0.482059
-14.447709	0.000038	0.453931
-14.407709	0.000034	0.410652
-14.367709	0.000030	0.356903
-14.327609	0.000025	0.298003
-14.287609	0.000020	0.239048
-14.247509	0.000015	0.184222
-14.207509	0.000011	0.136393
-14.167509	0.000008	0.097015
-14.127409	0.000006	0.066294
-14.087409	0.000004	0.043522
-14.047309	0.000002	0.027449
-14.007309	0.000001	0.016632
-13.967309	0.000001	0.009682
-13.927209	0.000000	0.005415
-13.887209	0.000000	0.002909
-13.847109	0.000000	0.001502
-13.807109	0.000000	0.000745
-13.767109	0.000000	0.000355
-13.727009	0.000000	0.000162
-13.687009	0.000000	0.000000
-13.646909	0.000000	0.000000
-13.606909	0.000000	0.000000
-13.566909	0.000000	0.000000
-13.526809	0.000000	0.000000
-13.486809	0.000000	0.000000
-13.446709	0.000000	0.000000
-13.406709	0.000000	0.000000
-13.366709	0.000000	0.000000
-13.326609	0.000000	0.000000
-13.286609	0.000000	0.000000
-13.246509	0.000000	0.000000
-13.206509	0.000000	0.000000
-13.166509	0.000000	0.000000
-13.126409	0.000000	0.000000
-13.086409	0.000000	0.000000
-13.046309	0.000000	0.000000
-13.006309	0.000000	0.000000
-12.966309	0.000000	0.000000
-12.926209	0.000000	0.000000
-12.886209	0.000000	0.000000
-12.846109	0.000000	0.000000
-12.806109	0.000000	0.000000
-12.766109	0.000000	0.000000
-12.726009	0.000000	0.000000
-12.686009	0.000000	0.000000
-12.645909	0.000000	0.000000
-12.605909	0.000000	0.000000
-12.565909	0.000000	0.000000
-12.525809	0.000000	0.000000
-12.485809	0.000000	0.000000
-12.445709	0.000000	0.000000
-12.405709	0.000000	0.000000
-12.365709	0.000000	0.000000
-12.325609	0.000000	0.000000
-12.285609	0.000000	0.000000
-12.245509	0.000000	0.000000
-12.205509	0.000000	0.000000
-12.165509	0.000000	0.000000
-12.125409	0.000000	0.000000
-12.085409	0.000000	0.000000
-12.045309	0.000000	0.000000
-12.005309	0.000000	0.000000
-11.965309	0.000000	0.000000
-11.925209	0.000000	0.000000
-11.885209	0.000000	0.000000
-11.845109	0.000000	0.000000
-11.805109	0.000000	0.000000
-11.765109	0.000000	0.000000
-11.725009	0.000000	0.000000
-11.685009	0.000000	0.000000
-11.644909	0.000000	0.000000
-11.604909	0.000000	0.000000
-11.564909	0.000000	0.000000
-11.524809	0.000000	0.000000
-11.484809	0.000000	0.000000
-11.444709	0.000000	0.000000
-11.404709	0.000000	0.000000
-11.364709	0.000000	0.000000
-11.324609	0.000000	0.000000
-11.284609	0.000000	0.000000
-11.244509	0.000000	0.000000
-11.204509	0.000000	0.000000
-11.164509	0.000000	0.000000
-11.124409	0.000000	0.000000
-11.084409	0.000000	0.000000
-11.044309	0.000000	0.000000
-11.004309	0.000000	0.000000
-10.964309	0.000000	0.000000
-10.924209	0.000000	0.000000
-10.884209	0.000000	0.000000
-10.844109	0.000000	0.000000
-10.804109	0.000000	0.000000
-10.764109	0.000000	0.000000
-10.724009	0.000000	0.000000
-10.684009	0.000000	0.000001
-10.643909	0.000001	0.000002
-10.603909	0.000001	0.000006
-10.563909	0.000003	0.000012
-10.523809	0.000006	0.000023
-10.483809	0.000011	0.000045
-10.443709	0.000021	0.000083
-10.403709	0.000037	0.000148
-10.363709	0.000063	0.000252
-10.323609	0.000105	0.000416
-10.283609	0.000169	0.000663
-10.243509	0.000261	0.001018
-10.203509	0.000391	0.001512
-10.163509	0.000566	0.002171
-10.123409	0.000793	0.003018
-10.083409	0.001078	0.004068
-10.043309	0.001424	0.005320
-10.003309	0.001828	0.006762
-9.963309	0.002288	0.008366
-9.923209	0.002797	0.010089
-9.883209	0.003348	0.011881
-9.843109	0.003936	0.013684
-9.803109	0.004558	0.015441
-9.763109	0.005217	0.017096
-9.723009	0.005927	0.018599
-9.683009	0.006716	0.019906
-9.642909	0.007636	0.020980
-9.602909	0.008779	0.021792
-9.562909	0.010248	0.022321
-9.522809	0.012216	0.022556
-9.482809	0.014905	0.022493
-9.442709	0.018591	0.022141
-9.402709	0.023605	0.021519
-9.362709	0.030314	0.020658
-9.322609	0.039095	0.019600
-9.282609	0.050302	0.018398
-9.242509	0.064226	0.017109
-9.202509	0.081059	0.015795
-9.162509	0.100843	0.014514
-9.122409	0.123453	0.013316
-9.082409	0.148567	0.012239
-9.042309	0.175659	0.011309
-9.002309	0.204008	0.010535
-8.962309	0.232738	0.009913
-8.922209	0.260883	0.009427
-8.882209	0.287483	0.009054
-8.842109	0.311699	0.008770
-8.802109	0.332925	0.008550
-8.762109	0.350864	0.008372
-8.722009	0.365561	0.008223
-8.682009	0.377365	0.008096
-8.641909	0.386839	0.007993
-8.601909	0.394624	0.007921
-8.561909	0.401311	0.007894
-8.521809	0.407371	0.007929
-8.481809	0.413111	0.008041
-8.441709	0.418711	0.008242
-8.401709	0.424303	0.008540
-8.361709	0.430048	0.008935
-8.321609	0.436210	0.009417
-8.281609	0.443169	0.009971
-8.241509	0.451396	0.010575
-8.201509	0.461379	0.011202
-8.161509	0.473547	0.011828
-8.121409	0.488171	0.012428
-8.081409	0.505294	0.012985
-8.041309	0.524746	0.013484
-8.001309	0.546140	0.013921
-7.961309	0.568925	0.014294
-7.921209	0.592500	0.014605
-7.881209	0.616247	0.014860
-7.841109	0.639657	0.015062
-7.801109	0.662376	0.015215
-7.761109	0.684233	0.015322
-7.721009	0.705210	0.015381
-7.681009	0.725391	0.015391
-7.640909	0.744866	0.015350
-7.600909	0.763620	0.015255
-7.560909	0.781452	0.015108
-7.520809	0.797927	0.014909
-7.480809	0.812385	0.014662
-7.440709	0.824020	0.014375
-7.400709	0.832043	0.014056
-7.360709	0.835839	0.013717
-7.320609	0.835134	0.013370
-7.280609	0.830098	0.013032
-7.240509	0.821372	0.012717
-7.200509	0.809978	0.012445
-7.160509	0.797164	0.012233
-7.120409	0.784196	0.012104
-7.080409	0.772164	0.012079
-7.040309	0.761816	0.012186
-7.000309	0.753518	0.012454
-6.960309	0.747273	0.012922
-6.920209	0.742835	0.013632
-6.880209	0.739832	0.014634
-6.840109	0.737939	0.015980
-6.800109	0.736989	0.017718
-6.760109	0.737037	0.019887
-6.720009	0.738382	0.022508
-6.680009	0.741516	0.025575
-6.639909	0.747051	0.029057
-6.599909	0.755638	0.032890
-6.559909	0.767877	0.036990
-6.519809	0.784264	0.041257
-6.479809	0.805144	0.045593
-6.439709	0.830715	0.049909
-6.399709	0.861024	0.054144
-6.359709	0.896017	0.058264
-6.319609	0.935547	0.062269
-6.279609	0.979405	0.066189
-6.239509	1.027332	0.070074
-6.199509	1.079033	0.073990
-6.159409	1.134218	0.078006
-6.119409	1.192599	0.082193
-6.079409	1.253934	0.086616
-6.039309	1.318031	0.091334
-5.999309	1.384727	0.096404
-5.959209	1.453837	0.101881
-5.919209	1.525060	0.107822
-5.879209	1.597867	0.114291
-5.839109	1.671384	0.121359
-5.799109	1.744333	0.129104
-5.759009	1.815006	0.137629
-5.719009	1.881362	0.147055
-5.679009	1.941166	0.157568
-5.638909	1.992193	0.169272
-5.598909	2.032427	0.182427
-5.558809	2.060267	0.197363
-5.518809	2.074656	0.214523
-5.478809	2.075140	0.234498
-5.438709	2.061890	0.258051
-5.398709	2.035683	0.286105
-5.358609	1.997821	0.319671
-5.318609	1.950099	0.359706
-5.278609	1.894695	0.406878
-5.238509	1.834098	0.461270
-5.198509	1.770928	0.522046
-5.158409	1.707754	0.587180
-5.118409	1.646845	0.653324
-5.078409	1.589923	0.715914
-5.038309	1.537978	0.769563
-4.998309	1.491166	0.808729
-4.958209	1.448853	0.828550
-4.918209	1.409799	0.825694
-4.878209	1.372448	0.799020
-4.838109	1.335286	0.749885
-4.798109	1.297140	0.682002
-4.758009	1.257391	0.600875
-4.718009	1.216086	0.512939
-4.678009	1.173888	0.424602
-4.637909	1.131900	0.341392
-4.597909	1.091466	0.267378
-4.557809	1.053941	0.204925
-4.517809	1.020514	0.154779
-4.477809	0.992104	0.116383
-4.437709	0.969322	0.088318
-4.397709	0.952481	0.068741
-4.357609	0.941669	0.055746
-4.317609	0.936795	0.047610
-4.277609	0.937631	0.042919
-4.237509	0.943845	0.040598
-4.197509	0.955011	0.039880
-4.157409	0.970582	0.040233
-4.117409	0.989881	0.041296
-4.077409	1.012090	0.042816
-4.037309	1.036265	0.044589
-3.997309	1.061373	0.046529
-3.957209	1.086342	0.048443
-3.917209	1.110137	0.050203
-3.877209	1.131865	0.051721
-3.837109	1.150856	0.052937
-3.797109	1.166710	0.053825
-3.757009	1.179387	0.054402
-3.717009	1.189187	0.054723
-3.677009	1.196725	0.054872
-3.636909	1.202863	0.054951
-3.596909	1.208594	0.055066
-3.556809	1.214920	0.055311
-3.516809	1.222701	0.055758
-3.476809	1.232526	0.056448
-3.436709	1.244595	0.057384
-3.396709	1.258646	0.058530
-3.356609	1.273941	0.059812
-3.316609	1.289315	0.061125
-3.276609	1.303319	0.062346
-3.236509	1.314400	0.063341
-3.196509	1.321139	0.063990
-3.156409	1.322497	0.064197
-3.116409	1.318016	0.063907
-3.076409	1.307915	0.063114
-3.036309	1.293112	0.061863
-2.996309	1.275096	0.060239
-2.956209	1.255724	0.058361
-2.916209	1.236943	0.056357
-2.876209	1.220507	0.054353
-2.836109	1.207761	0.052452
-2.796109	1.199458	0.050731
-2.756009	1.195710	0.049228
-2.716009	1.196029	0.047953
-2.676009	1.199439	0.046886
-2.635909	1.204678	0.045989
-2.595909	1.210403	0.045214
-2.555809	1.215412	0.044512
-2.515809	1.218841	0.043838
-2.475809	1.220306	0.043160
-2.435709	1.219979	0.042458
-2.395709	1.218559	0.041727
-2.355609	1.217174	0.040975
-2.315609	1.217208	0.040220
-2.275609	1.220079	0.039485
-2.235509	1.227001	0.038795
-2.195509	1.238832	0.038172
-2.155409	1.255930	0.037631
-2.115409	1.278103	0.037178
-2.075409	1.304689	0.036810
-2.035309	1.334675	0.036518
-1.995309	1.366892	0.036287
-1.955209	1.400214	0.036100
-1.915209	1.433782	0.035941
-1.875209	1.467106	0.035797
-1.835109	1.500207	0.035661
-1.795109	1.533568	0.035531
-1.755009	1.568077	0.035413
-1.715009	1.604857	0.035319
-1.675009	1.645079	0.035265
-1.634909	1.689757	0.035268
-1.594909	1.739581	0.035347
-1.554809	1.794784	0.035519
-1.514809	1.855064	0.035794
-1.474809	1.919570	0.036177
-1.434709	1.986910	0.036668
-1.394709	2.055195	0.037255
-1.354609	2.122119	0.037921
-1.314609	2.185061	0.038638
-1.274609	2.241246	0.039375
-1.234509	2.287968	0.040099
-1.194509	2.322855	0.040774
-1.154409	2.344166	0.041374
-1.114409	2.351035	0.041880
