Energy(eV)	C_p_DOS	Pt_d_DOS
-22.640457	0.000000	0.000000
-22.620457	0.000000	0.000000
-22.600457	0.000000	0.000000
-22.580457	0.000000	0.000000
-22.560457	0.000000	0.000000
-22.540357	0.000000	0.000000
-22.520357	0.000000	0.000000
-22.500357	0.000000	0.000000
-22.480357	0.000000	0.000000
-22.460357	0.000000	0.000000
-22.440357	0.000000	0.000000
-22.420357	0.000000	0.000000
-22.400357	0.000000	0.000000
-22.380357	0.000000	0.000000
-22.360357	0.000000	0.000000
-22.340257	0.000000	0.000000
-22.320257	0.000000	0.000000
-22.300257	0.000000	0.000000
-22.280257	0.000000	0.000000
-22.260257	0.000000	0.000000
-22.240257	0.000000	0.000000
-22.220257	0.000000	0.000000
-22.200257	0.000000	0.000000
-22.180257	0.000000	0.000000
-22.160257	0.000000	0.000000
-22.140157	0.000000	0.000000
-22.120157	0.000000	0.000000
-22.100157	0.000000	0.000000
-22.080157	0.000000	0.000000
-22.060157	0.000000	0.000000
-22.040157	0.000000	0.000000
-22.020157	0.000000	0.000000
-22.000157	0.000000	0.000000
-21.980157	0.000000	0.000000
-21.960157	0.000000	0.000000
-21.940057	0.000000	0.000000
-21.920057	0.000000	0.000000
-21.900057	0.000000	0.000000
-21.880057	0.000000	0.000000
-21.860057	0.000000	0.000000
-21.840057	0.000000	0.000000
-21.820057	0.000000	0.000000
-21.800057	0.000000	0.000000
-21.780057	0.000000	0.000000
-21.760057	0.000000	0.000000
-21.739957	0.000000	0.000000
-21.719957	0.000000	0.000000
-21.699957	0.000000	0.000000
-21.679957	0.000000	0.000000
-21.659957	0.000000	0.000000
-21.639957	0.000000	0.000000
-21.619957	0.000000	0.000000
-21.599957	0.000000	0.000000
-21.579957	0.000000	0.000000
-21.559957	0.000000	0.000000
-21.539857	0.000000	0.000000
-21.519857	0.000000	0.000000
-21.499857	0.000000	0.000000
-21.479857	0.000000	0.000000
-21.459857	0.000000	0.000000
-21.439857	0.000000	0.000000
-21.419857	0.000000	0.000000
-21.399857	0.000000	0.000000
-21.379857	0.000000	0.000000
-21.359857	0.000000	0.000000
-21.339757	0.000000	0.000000
-21.319757	0.000000	0.000000
-21.299757	0.000000	0.000000
-21.279757	0.000000	0.000000
-21.259757	0.000000	0.000000
-21.239757	0.000000	0.000000
-21.219757	0.000000	0.000000
-21.199757	0.000000	0.000000
-21.179757	0.000000	0.000000
-21.159757	0.000000	0.000000
-21.139657	0.000000	0.000000
-21.119657	0.000000	0.000000
-21.099657	0.000000	0.000000
-21.079657	0.000000	0.000000
-21.059657	0.000000	0.000000
-21.039657	0.000000	0.000000
-21.019657	0.000000	0.000000
-20.999657	0.000000	0.000000
-20.979657	0.000000	0.000000
-20.959657	0.000000	0.000000
-20.939557	0.000000	0.000000
-20.919557	0.000000	0.000000
-20.899557	0.000000	0.000000
-20.879557	0.000000	0.000000
-20.859557	0.000000	0.000000
-20.839557	0.000000	0.000000
-20.819557	0.000000	0.000000
-20.799557	0.000000	0.000000
-20.779557	0.000000	0.000000
-20.759557	0.000000	0.000000
-20.739457	0.000000	0.000000
-20.719457	0.000000	0.000000
-20.699457	0.000000	0.000000
-20.679457	0.000000	0.000000
-20.659457	0.000000	0.000000
-20.639457	0.000000	0.000000
-20.619457	0.000000	0.000000
-20.599457	0.000000	0.000000
-20.579457	0.000000	0.000000
-20.559457	0.000000	0.000000
-20.539357	0.000000	0.000000
-20.519357	0.000000	0.000000
