Energy(eV)	C_p_DOS	Pt_d_DOS
-22.916571	0.000000	0.000000
-22.896571	0.000000	0.000000
-22.876571	0.000000	0.000000
-22.856571	0.000000	0.000000
-22.836571	0.000000	0.000000
-22.816471	0.000000	0.000000
-22.796471	0.000000	0.000000
-22.776471	0.000000	0.000000
-22.756471	0.000000	0.000000
-22.736471	0.000000	0.000000
-22.716471	0.000000	0.000000
-22.696471	0.000000	0.000000
-22.676471	0.000000	0.000000
-22.656471	0.000000	0.000000
-22.636471	0.000000	0.000000
-22.616371	0.000000	0.000000
-22.596371	0.000000	0.000000
-22.576371	0.000000	0.000000
-22.556371	0.000000	0.000000
-22.536371	0.000000	0.000000
-22.516371	0.000000	0.000000
-22.496371	0.000000	0.000000
-22.476371	0.000000	0.000000
-22.456371	0.000000	0.000000
-22.436371	0.000000	0.000000
-22.416271	0.000000	0.000000
-22.396271	0.000000	0.000000
-22.376271	0.000000	0.000000
-22.356271	0.000000	0.000000
-22.336271	0.000000	0.000000
-22.316271	0.000000	0.000000
-22.296271	0.000000	0.000000
-22.276271	0.000000	0.000000
-22.256271	0.000000	0.000000
-22.236271	0.000000	0.000000
-22.216171	0.000000	0.000000
-22.196171	0.000000	0.000000
-22.176171	0.000000	0.000000
-22.156171	0.000000	0.000000
-22.136171	0.000000	0.000000
-22.116171	0.000000	0.000000
-22.096171	0.000000	0.000000
-22.076171	0.000000	0.000000
-22.056171	0.000000	0.000000
-22.036171	0.000000	0.000000
-22.016071	0.000000	0.000000
-21.996071	0.000000	0.000000
-21.976071	0.000000	0.000000
-21.956071	0.000000	0.000000
-21.936071	0.000000	0.000000
-21.916071	0.000000	0.000000
-21.896071	0.000000	0.000000
-21.876071	0.000000	0.000000
-21.856071	0.000000	0.000000
-21.836071	0.000000	0.000000
-21.815971	0.000000	0.000000
-21.795971	0.000000	0.000000
-21.775971	0.000000	0.000000
-21.755971	0.000000	0.000000
-21.735971	0.000000	0.000000
-21.715971	0.000000	0.000000
-21.695971	0.000000	0.000000
-21.675971	0.000000	0.000000
-21.655971	0.000000	0.000000
-21.635971	0.000000	0.000000
-21.615871	0.000000	0.000000
-21.595871	0.000000	0.000000
-21.575871	0.000000	0.000000
-21.555871	0.000000	0.000000
-21.535871	0.000000	0.000000
-21.515871	0.000000	0.000000
-21.495871	0.000000	0.000000
-21.475871	0.000000	0.000000
-21.455871	0.000000	0.000000
-21.435871	0.000000	0.000000
-21.415771	0.000000	0.000000
-21.395771	0.000000	0.000000
-21.375771	0.000000	0.000000
-21.355771	0.000000	0.000000
-21.335771	0.000000	0.000000
-21.315771	0.000000	0.000000
-21.295771	0.000000	0.000000
-21.275771	0.000000	0.000000
-21.255771	0.000000	0.000000
-21.235771	0.000000	0.000000
-21.215671	0.000000	0.000000
-21.195671	0.000000	0.000000
-21.175671	0.000000	0.000000
-21.155671	0.000000	0.000000
-21.135671	0.000000	0.000000
-21.115671	0.000000	0.000000
-21.095671	0.000000	0.000000
-21.075671	0.000000	0.000000
-21.055671	0.000000	0.000000
-21.035671	0.000000	0.000000
-21.015571	0.000000	0.000000
-20.995571	0.000000	0.000000
-20.975571	0.000000	0.000000
-20.955571	0.000000	0.000000
-20.935571	0.000000	0.000000
-20.915571	0.000000	0.000000
-20.895571	0.000000	0.000000
-20.875571	0.000000	0.000000
-20.855571	0.000000	0.000000
-20.835571	0.000000	0.000000
-20.815471	0.000000	0.000000
-20.795471	0.000000	0.000000
-20.775471	0.000000	0.000000
-20.755471	0.000000	0.000000
-20.735471	0.000000	0.000000
-20.715471	0.000000	0.000000
-20.695471	0.000000	0.000000
-20.675471	0.000000	0.000000
-20.655471	0.000000	0.000000
-20.635471	0.000000	0.000000
-20.615371	0.000000	0.000000
-20.595371	0.000000	0.000000
-20.575371	0.000000	0.000000
-20.555371	0.000000	0.000000
-20.535371	0.000000	0.000000
-20.515371	0.000000	0.000000
-20.495371	0.000000	0.000000
-20.475371	0.000000	0.000000
-20.455371	0.000000	0.000000
-20.435371	0.000000	0.000000
-20.415271	0.000000	0.000000
-20.395271	0.000000	0.000000
-20.375271	0.000000	0.000000
-20.355271	0.000000	0.000000
-20.335271	0.000000	0.000000
-20.315271	0.000000	0.000000
-20.295271	0.000000	0.000000
-20.275271	0.000000	0.000000
-20.255271	0.000000	0.000000
-20.235271	0.000000	0.000000
-20.215171	0.000000	0.000000
-20.195171	0.000000	0.000000
-20.175171	0.000000	0.000000
-20.155171	0.000000	0.000000
-20.135171	0.000000	0.000000
-20.115171	0.000000	0.000000
-20.095171	0.000000	0.000000
-20.075171	0.000000	0.000000
-20.055171	0.000000	0.000000
-20.035171	0.000000	0.000000
-20.015071	0.000000	0.000000
-19.995071	0.000000	0.000000
-19.975071	0.000000	0.000000
-19.955071	0.000000	0.000000
-19.935071	0.000000	0.000000
-19.915071	0.000000	0.000000
-19.895071	0.000000	0.000000
-19.875071	0.000000	0.000000
-19.855071	0.000000	0.000000
-19.835071	0.000000	0.000000
-19.814971	0.000000	0.000000
-19.794971	0.000000	0.000000
-19.774971	0.000000	0.000000
-19.754971	0.000000	0.000000
-19.734971	0.000000	0.000000
-19.714971	0.000000	0.000000
-19.694971	0.000000	0.000000
-19.674971	0.000000	0.000000
-19.654971	0.000000	0.000000
-19.634971	0.000000	0.000000
-19.614871	0.000000	0.000000
-19.594871	0.000000	0.000000
-19.574871	0.000000	0.000000
-19.554871	0.000000	0.000000
-19.534871	0.000000	0.000000
-19.514871	0.000000	0.000000
-19.494871	0.000000	0.000000
-19.474871	0.000000	0.000000
-19.454871	0.000000	0.000000
-19.434871	0.000000	0.000000
-19.414771	0.000000	0.000000
-19.394771	0.000000	0.000000
-19.374771	0.000000	0.000000
-19.354771	0.000000	0.000000
-19.334771	0.000000	0.000000
-19.314771	0.000000	0.000000
-19.294771	0.000000	0.000000
-19.274771	0.000000	0.000000
-19.254771	0.000000	0.000000
-19.234771	0.000000	0.000000
-19.214671	0.000000	0.000000
-19.194671	0.000000	0.000000
-19.174671	0.000000	0.000000
-19.154671	0.000000	0.000000
-19.134671	0.000000	0.000000
-19.114671	0.000000	0.000000
-19.094671	0.000000	0.000000
-19.074671	0.000000	0.000000
-19.054671	0.000000	0.000000
-19.034671	0.000000	0.000000
-19.014571	0.000000	0.000000
-18.994571	0.000000	0.000000
-18.974571	0.000000	0.000000
-18.954571	0.000000	0.000000
-18.934571	0.000000	0.000000
-18.914571	0.000000	0.000000
-18.894571	0.000000	0.000000
-18.874571	0.000000	0.000000
-18.854571	0.000000	0.000000
-18.834571	0.000000	0.000000
-18.814471	0.000000	0.000000
-18.794471	0.000000	0.000000
-18.774471	0.000000	0.000000
-18.754471	0.000000	0.000000
-18.734471	0.000000	0.000000
-18.714471	0.000000	0.000000
-18.694471	0.000000	0.000000
-18.674471	0.000000	0.000000
-18.654471	0.000000	0.000000
-18.634471	0.000000	0.000000
-18.614371	0.000000	0.000000
-18.594371	0.000000	0.000000
-18.574371	0.000000	0.000000
-18.554371	0.000000	0.000000
-18.534371	0.000000	0.000000
-18.514371	0.000000	0.000000
-18.494371	0.000000	0.000000
-18.474371	0.000000	0.000000
-18.454371	0.000000	0.000000
-18.434371	0.000000	0.000000
-18.414271	0.000000	0.000000
-18.394271	0.000000	0.000000
-18.374271	0.000000	0.000000
-18.354271	0.000000	0.000000
-18.334271	0.000000	0.000000
-18.314271	0.000000	0.000000
-18.294271	0.000000	0.000000
-18.274271	0.000000	0.000000
-18.254271	0.000000	0.000000
-18.234271	0.000000	0.000000
-18.214171	0.000000	0.000000
-18.194171	0.000000	0.000000
-18.174171	0.000000	0.000000
-18.154171	0.000000	0.000000
-18.134171	0.000000	0.000000
-18.114171	0.000000	0.000000
-18.094171	0.000000	0.000000
-18.074171	0.000000	0.000000
-18.054171	0.000000	0.000000
-18.034171	0.000000	0.000000
-18.014071	0.000000	0.000000
-17.994071	0.000000	0.000000
-17.974071	0.000000	0.000000
-17.954071	0.000000	0.000000
-17.934071	0.000000	0.000000
-17.914071	0.000000	0.000000
-17.894071	0.000000	0.000000
-17.874071	0.000000	0.000000
