Energy(eV)	C_p_DOS	Pt_d_DOS
-22.728465	0.000000	0.000000
-22.708465	0.000000	0.000000
-22.688465	0.000000	0.000000
-22.668465	0.000000	0.000000
-22.648465	0.000000	0.000000
-22.628365	0.000000	0.000000
-22.608365	0.000000	0.000000
-22.588365	0.000000	0.000000
-22.568365	0.000000	0.000000
-22.548365	0.000000	0.000000
-22.528365	0.000000	0.000000
-22.508365	0.000000	0.000000
-22.488365	0.000000	0.000000
-22.468365	0.000000	0.000000
-22.448365	0.000000	0.000000
-22.428265	0.000000	0.000000
-22.408265	0.000000	0.000000
-22.388265	0.000000	0.000000
-22.368265	0.000000	0.000000
-22.348265	0.000000	0.000000
-22.328265	0.000000	0.000000
-22.308265	0.000000	0.000000
-22.288265	0.000000	0.000000
-22.268265	0.000000	0.000000
-22.248265	0.000000	0.000000
-22.228165	0.000000	0.000000
-22.208165	0.000000	0.000000
-22.188165	0.000000	0.000000
-22.168165	0.000000	0.000000
-22.148165	0.000000	0.000000
-22.128165	0.000000	0.000000
-22.108165	0.000000	0.000000
-22.088165	0.000000	0.000000
-22.068165	0.000000	0.000000
-22.048165	0.000000	0.000000
-22.028065	0.000000	0.000000
-22.008065	0.000000	0.000000
-21.988065	0.000000	0.000000
-21.968065	0.000000	0.000000
-21.948065	0.000000	0.000000
-21.928065	0.000000	0.000000
-21.908065	0.000000	0.000000
-21.888065	0.000000	0.000000
-21.868065	0.000000	0.000000
-21.848065	0.000000	0.000000
-21.827965	0.000000	0.000000
-21.807965	0.000000	0.000000
-21.787965	0.000000	0.000000
-21.767965	0.000000	0.000000
-21.747965	0.000000	0.000000
-21.727965	0.000000	0.000000
-21.707965	0.000000	0.000000
-21.687965	0.000000	0.000000
-21.667965	0.000000	0.000000
-21.647965	0.000000	0.000000
-21.627865	0.000000	0.000000
-21.607865	0.000000	0.000000
-21.587865	0.000000	0.000000
-21.567865	0.000000	0.000000
-21.547865	0.000000	0.000000
-21.527865	0.000000	0.000000
-21.507865	0.000000	0.000000
-21.487865	0.000000	0.000000
-21.467865	0.000000	0.000000
-21.447865	0.000000	0.000000
-21.427765	0.000000	0.000000
-21.407765	0.000000	0.000000
-21.387765	0.000000	0.000000
-21.367765	0.000000	0.000000
-21.347765	0.000000	0.000000
-21.327765	0.000000	0.000000
-21.307765	0.000000	0.000000
-21.287765	0.000000	0.000000
-21.267765	0.000000	0.000000
-21.247765	0.000000	0.000000
-21.227665	0.000000	0.000000
-21.207665	0.000000	0.000000
