Energy(eV)	C_p_DOS	Pt_d_DOS
-22.821014	0.000000	0.000000
-22.801014	0.000000	0.000000
-22.781014	0.000000	0.000000
-22.761014	0.000000	0.000000
-22.741014	0.000000	0.000000
-22.720914	0.000000	0.000000
-22.700914	0.000000	0.000000
-22.680914	0.000000	0.000000
-22.660914	0.000000	0.000000
-22.640914	0.000000	0.000000
-22.620914	0.000000	0.000000
-22.600914	0.000000	0.000000
-22.580914	0.000000	0.000000
-22.560914	0.000000	0.000000
-22.540914	0.000000	0.000000
-22.520814	0.000000	0.000000
-22.500814	0.000000	0.000000
-22.480814	0.000000	0.000000
-22.460814	0.000000	0.000000
-22.440814	0.000000	0.000000
-22.420814	0.000000	0.000000
-22.400814	0.000000	0.000000
-22.380814	0.000000	0.000000
-22.360814	0.000000	0.000000
-22.340814	0.000000	0.000000
-22.320714	0.000000	0.000000
-22.300714	0.000000	0.000000
-22.280714	0.000000	0.000000
-22.260714	0.000000	0.000000
-22.240714	0.000000	0.000000
-22.220714	0.000000	0.000000
-22.200714	0.000000	0.000000
-22.180714	0.000000	0.000000
-22.160714	0.000000	0.000000
-22.140714	0.000000	0.000000
-22.120614	0.000000	0.000000
-22.100614	0.000000	0.000000
-22.080614	0.000000	0.000000
-22.060614	0.000000	0.000000
-22.040614	0.000000	0.000000
-22.020614	0.000000	0.000000
-22.000614	0.000000	0.000000
-21.980614	0.000000	0.000000
-21.960614	0.000000	0.000000
-21.940614	0.000000	0.000000
-21.920514	0.000000	0.000000
-21.900514	0.000000	0.000000
-21.880514	0.000000	0.000000
-21.860514	0.000000	0.000000
-21.840514	0.000000	0.000000
-21.820514	0.000000	0.000000
-21.800514	0.000000	0.000000
-21.780514	0.000000	0.000000
-21.760514	0.000000	0.000000
-21.740514	0.000000	0.000000
-21.720414	0.000000	0.000000
-21.700414	0.000000	0.000000
-21.680414	0.000000	0.000000
-21.660414	0.000000	0.000000
-21.640414	0.000000	0.000000
-21.620414	0.000000	0.000000
-21.600414	0.000000	0.000000
-21.580414	0.000000	0.000000
-21.560414	0.000000	0.000000
-21.540414	0.000000	0.000000
-21.520314	0.000000	0.000000
-21.500314	0.000000	0.000000
-21.480314	0.000000	0.000000
-21.460314	0.000000	0.000000
-21.440314	0.000000	0.000000
-21.420314	0.000000	0.000000
-21.400314	0.000000	0.000000
-21.380314	0.000000	0.000000
-21.360314	0.000000	0.000000
-21.340314	0.000000	0.000000
-21.320214	0.000000	0.000000
-21.300214	0.000000	0.000000
-21.280214	0.000000	0.000000
-21.260214	0.000000	0.000000
-21.240214	0.000000	0.000000
-21.220214	0.000000	0.000000
-21.200214	0.000000	0.000000
-21.180214	0.000000	0.000000
-21.160214	0.000000	0.000000
-21.140214	0.000000	0.000000
-21.120114	0.000000	0.000000
-21.100114	0.000000	0.000000
-21.080114	0.000000	0.000000
-21.060114	0.000000	0.000000
-21.040114	0.000000	0.000000
-21.020114	0.000000	0.000000
-21.000114	0.000000	0.000000
-20.980114	0.000000	0.000000
-20.960114	0.000000	0.000000
-20.940114	0.000000	0.000000
-20.920014	0.000000	0.000000
-20.900014	0.000000	0.000000
-20.880014	0.000000	0.000000
-20.860014	0.000000	0.000000
-20.840014	0.000000	0.000000
-20.820014	0.000000	0.000000
-20.800014	0.000000	0.000000
-20.780014	0.000000	0.000000
-20.760014	0.000000	0.000000
-20.740014	0.000000	0.000000
-20.719914	0.000000	0.000000
-20.699914	0.000000	0.000000
-20.679914	0.000000	0.000000
-20.659914	0.000000	0.000000
-20.639914	0.000000	0.000000
-20.619914	0.000000	0.000000
-20.599914	0.000000	0.000000
-20.579914	0.000000	0.000000
-20.559914	0.000000	0.000000
-20.539914	0.000000	0.000000
-20.519814	0.000000	0.000000
-20.499814	0.000000	0.000000
-20.479814	0.000000	0.000000
-20.459814	0.000000	0.000000
-20.439814	0.000000	0.000000
-20.419814	0.000000	0.000000
-20.399814	0.000000	0.000000
-20.379814	0.000000	0.000000
-20.359814	0.000000	0.000000
-20.339814	0.000000	0.000000
-20.319714	0.000000	0.000000
-20.299714	0.000000	0.000000
-20.279714	0.000000	0.000000
-20.259714	0.000000	0.000000
-20.239714	0.000000	0.000000
-20.219714	0.000000	0.000000
-20.199714	0.000000	0.000000
-20.179714	0.000000	0.000000
-20.159714	0.000000	0.000000
-20.139714	0.000000	0.000000
-20.119614	0.000000	0.000000
-20.099614	0.000000	0.000000
-20.079614	0.000000	0.000000
-20.059614	0.000000	0.000000
-20.039614	0.000000	0.000000
-20.019614	0.000000	0.000000
-19.999614	0.000000	0.000000
-19.979614	0.000000	0.000000
-19.959614	0.000000	0.000000
-19.939614	0.000000	0.000000
-19.919514	0.000000	0.000000
-19.899514	0.000000	0.000000
-19.879514	0.000000	0.000000
-19.859514	0.000000	0.000000
-19.839514	0.000000	0.000000
-19.819514	0.000000	0.000000
-19.799514	0.000000	0.000000
-19.779514	0.000000	0.000000
-19.759514	0.000000	0.000000
-19.739514	0.000000	0.000000
-19.719414	0.000000	0.000000
-19.699414	0.000000	0.000000
-19.679414	0.000000	0.000000
-19.659414	0.000000	0.000000
-19.639414	0.000000	0.000000
-19.619414	0.000000	0.000000
-19.599414	0.000000	0.000000
-19.579414	0.000000	0.000000
-19.559414	0.000000	0.000000
-19.539414	0.000000	0.000000
-19.519314	0.000000	0.000000
-19.499314	0.000000	0.000000
-19.479314	0.000000	0.000000
